fluid_id,altura,tempo,concentracao,regime
5,0.5,1,0.042060608228949574,1
5,0.5,2,0.06026235200465218,1
5,0.5,3,0.06561215632787105,1
5,0.5,5,0.06687109729830971,1
5,0.5,6,0.0662562674925577,1
5,0.5,7,0.06785679387956552,1
5,0.5,8,0.06552907843986452,2
5,0.5,10,0.06666571995724196,1
5,0.5,12,0.06861481594741782,1
5,0.5,13,0.06789050619838895,1
5,0.5,14,0.06661828237260724,1
5,0.5,15,0.06894092890037656,1
5,0.5,16,0.06608709679731778,2
5,0.5,19,0.06905317280653539,1
5,0.5,20,0.06761724511072424,1
5,0.5,21,0.07044961208914086,1
5,0.5,22,0.06835001414299417,2
5,0.5,23,0.06899846693644375,1
5,0.5,26,0.06852852305548161,0
5,0.5,27,0.06538306148120683,2
5,0.5,28,0.06883993522677487,1
5,0.5,29,0.06814008392991679,1
5,0.5,33,0.07089522562119711,1
5,0.5,34,0.06847185571984347,2
5,0.5,35,0.06774525351629024,1
5,0.5,36,0.06992098583080265,1
5,0.5,37,0.06944131866045015,0
5,0.5,40,0.06760848451561229,1
5,0.5,41,0.06919361575496935,1
5,0.5,42,0.0697950586804133,1
5,0.5,43,0.06984942369918458,0
5,0.5,44,0.0694097460364178,0
5,0.5,47,0.06956814945211004,0
5,0.5,48,0.0707105801785985,1
5,0.5,49,0.07007452740617558,1
5,0.5,50,0.072233938444891,1
5,2.0,1,0.03673643284044529,1
5,2.0,2,0.05926152431130452,1
5,2.0,3,0.06288724988919255,1
5,2.0,5,0.06405180834187035,1
5,2.0,6,0.062392567173128154,1
5,2.0,7,0.06167400304521128,1
5,2.0,8,0.06267249381757753,1
5,2.0,10,0.06565029196161849,1
5,2.0,12,0.06861481594741782,1
5,2.0,13,0.06745049800556831,1
5,2.0,14,0.06865449632824785,1
5,2.0,15,0.0678227280357974,1
5,2.0,16,0.06660973795664814,1
5,2.0,19,0.06809467557604783,0
5,2.0,20,0.07043747612582295,1
5,2.0,21,0.06881009848736445,1
5,2.0,22,0.06964859647542375,1
5,2.0,23,0.07036619697120415,1
5,2.0,26,0.06692546953457305,1
5,2.0,27,0.06821196534393248,1
5,2.0,28,0.06964516303514547,1
5,2.0,29,0.06890110184217645,1
5,2.0,33,0.07067132293453086,0
5,2.0,34,0.06987485997683167,1
5,2.0,35,0.06864750323070071,1
5,2.0,36,0.07065989106878036,1
5,2.0,37,0.0697661193892584,1
5,2.0,40,0.06973438162920134,0
5,2.0,41,0.06894611206427288,1
5,2.0,42,0.06969880947738614,1
5,2.0,43,0.07019904864614168,1
5,2.0,44,0.0694893918914786,1
5,2.0,47,0.07106143864311537,1
5,2.0,48,0.07056924202873731,0
5,2.0,49,0.07203894386332145,1
5,2.0,50,0.07055999345976212,1
5,4.0,1,0.03917031470318044,1
5,4.0,2,0.05593701149078678,1
5,4.0,3,0.0636000194458088,1
5,4.0,5,0.06305895703659811,0
5,4.0,6,0.062456719023397556,1
5,4.0,7,0.0629527699227063,0
5,4.0,8,0.06293102848654093,0
5,4.0,10,0.06506900313688863,1
5,4.0,12,0.06846388082533798,1
5,4.0,13,0.06848267780082348,0
5,4.0,14,0.06865479858027429,0
5,4.0,15,0.06898298540260696,0
5,4.0,16,0.06361939430861943,2
5,4.0,19,0.06983601851640872,1
5,4.0,20,0.07059350739858393,1
5,4.0,21,0.07022063962174553,0
5,4.0,22,0.06718290219976056,2
5,4.0,23,0.06983118199179257,1
5,4.0,26,0.06838380266246735,0
5,4.0,27,0.06883654312994987,0
5,4.0,28,0.06857663930254415,0
5,4.0,29,0.0675859650580914,1
5,4.0,33,0.06862594742593874,0
5,4.0,34,0.06952237855461944,1
5,4.0,35,0.06992349299732777,0
5,4.0,36,0.06778896657037052,2
5,4.0,37,0.0697891001076113,1
5,4.0,40,0.06905641085538666,0
5,4.0,41,0.07190108651572667,1
5,4.0,42,0.07052674976151241,1
5,4.0,43,0.06951146182733932,1
5,4.0,44,0.06921302083672794,0
5,4.0,47,0.0699307545351137,0
5,4.0,48,0.06800203867053115,1
5,4.0,49,0.0710571967967346,1
5,4.0,50,0.06963762089448589,1
5,8.0,1,0.037077638089919665,1
5,8.0,2,0.055380822687339716,1
5,8.0,3,0.06428164128207244,1
5,8.0,5,0.06256263159888027,1
5,8.0,6,0.06215798105443892,0
5,8.0,7,0.06527179796054575,1
5,8.0,8,0.06226291002059701,2
5,8.0,10,0.0665144102802564,1
5,8.0,12,0.06768658599551515,1
5,8.0,13,0.06709143299109838,1
5,8.0,14,0.06676841123044507,0
5,8.0,15,0.06762611067610942,1
5,8.0,16,0.06527197417123189,2
5,8.0,19,0.06695766009752595,1
5,8.0,20,0.06711150501157502,0
5,8.0,21,0.06865098294502438,1
5,8.0,22,0.06825698342431036,0
5,8.0,23,0.06968687618844878,1
5,8.0,26,0.06905772358284963,0
5,8.0,27,0.0663938532123751,2
5,8.0,28,0.06802797019321687,1
5,8.0,29,0.06676979383025822,1
5,8.0,33,0.06833085890303002,0
5,8.0,34,0.06893053804593212,1
5,8.0,35,0.06788462561045848,1
5,8.0,36,0.06842812453252811,1
5,8.0,37,0.06778968056700162,1
5,8.0,40,0.07031848798654404,1
5,8.0,41,0.0691648717098892,1
5,8.0,42,0.06906851486004358,0
5,8.0,43,0.07033624628011971,1
5,8.0,44,0.06935596483706431,1
5,8.0,47,0.07032858472305463,0
5,8.0,48,0.069507554803294,1
5,8.0,49,0.06962807058074418,0
5,8.0,50,0.06987296856298449,0
5,12.0,1,0.036672479524536346,1
5,12.0,2,0.05708529544629288,1
5,12.0,3,0.06112739085805513,1
5,12.0,5,0.06506689775135131,1
5,12.0,6,0.06216611265747535,2
5,12.0,7,0.06247428596512841,0
5,12.0,8,0.061187957675120856,1
5,12.0,10,0.06477197084791961,1
5,12.0,12,0.06811561020830785,1
5,12.0,13,0.0640785993276004,2
5,12.0,14,0.0647927279543938,1
5,12.0,15,0.06720297081173127,1
5,12.0,16,0.06467066372114619,2
5,12.0,19,0.06528588253338548,0
5,12.0,20,0.06584463460794775,1
5,12.0,21,0.06453657292147953,1
5,12.0,22,0.06780873910143993,1
5,12.0,23,0.06603368703813513,1
5,12.0,26,0.06542651789606914,0
5,12.0,27,0.0648834964110807,1
5,12.0,28,0.06628279856568269,1
5,12.0,29,0.06513397566215114,1
5,12.0,33,0.06687068953919544,0
5,12.0,34,0.066512783249603,0
5,12.0,35,0.06520413882818007,1
5,12.0,36,0.06589710265143393,1
5,12.0,37,0.0649769455101573,1
5,12.0,40,0.06609578232595374,0
5,12.0,41,0.06635653604435282,0
5,12.0,42,0.06685310964207201,0
5,12.0,43,0.06669095385915502,0
5,12.0,44,0.06790016641388946,1
5,12.0,47,0.06812076045046887,0
5,12.0,48,0.0687771477230151,1
5,12.0,49,0.06728028132689617,1
